Latitude,Longitude,Elevation
50.37188530,6.986918400,555.0
50.37287240,6.989836700,552.0
50.37313350,6.991200800,563.0
50.37325860,6.991853700,570.0
50.37330150,6.992154100,580.0
50.37347320,6.992454500,580.0
50.37446020,6.993742000,588.0
50.37463190,6.993870700,601.0
50.37544730,6.993870700,613.0
50.37566180,6.993956600,613.0
50.37634850,6.995072400,617.0
50.37656310,6.995244000,617.0
50.37613390,6.998248100,611.0
50.37583350,6.999278100,608.0
50.37540440,7.000007600,596.0
50.37518980,7.000608400,598.0
50.37488940,7.002024700,593.0
50.37390230,7.003698300,589.0
50.37373070,7.003827100,590.0
50.37325860,7.003912900,590.0
50.37201400,7.003440900,566.0
50.37158490,7.003440900,566.0
50.37141320,7.003569600,566.0
50.37119870,7.003912900,556.0
50.37102700,7.004385000,556.0
50.37072660,7.005672500,548.0
50.37064080,7.005887000,548.0
50.37046910,7.006058700,548.0
50.36965370,7.006144500,541.0
50.36888120,7.005972900,543.0
50.36862370,7.005586600,560.0
50.36862370,7.004256200,564.0
50.36875250,7.003397900,544.0
50.36875250,7.002496700,544.0
50.36853790,7.001938800,564.0
50.36677840,7.000179300,551.0
50.36656380,7.000050500,551.0
50.36604880,7.000007600,544.0
50.36502510,6.999882700,541.0
50.36428930,6.999793100,537.0
50.36381720,6.999621400,537.0
50.36343100,6.999235200,544.0
50.36321640,6.998505600,545.0
50.36313060,6.997861900,544.0
50.36300180,6.997304000,544.0
50.36287310,6.996960600,547.0
50.36158560,6.995329900,545.0
50.36068440,6.994600300,541.0
50.36004070,6.993956600,539.0
50.35965440,6.993398700,531.0
50.35888200,6.991725000,533.0
50.35862450,6.990823700,530.0
50.35806660,6.986918400,532.0
50.35810950,6.986274700,532.0
50.35862450,6.984257700,544.0
50.35866740,6.983785600,544.0
50.35858150,6.983442300,546.0
50.35772320,6.981554000,551.0
50.35750870,6.981425300,551.0
50.35737990,6.981468200,551.0
50.35686490,6.982240700,551.0
50.35669330,6.982712700,551.0
50.35635040,6.984461000,546.0
50.35626410,6.984901400,546.0
50.35604950,6.985802700,561.0
50.35570620,6.986317600,558.0
50.35544870,6.986532200,558.0
50.35510540,6.986703900,562.0
50.35463330,6.986789700,562.0
50.35398960,6.986489300,558.0
50.35338880,6.985716800,552.0
50.35317420,6.985287700,555.0
50.35240170,6.983227700,552.0
50.35132880,6.980266600,547.0
50.34969810,6.975932100,545.0
50.34823890,6.972241400,550.0
50.34592150,6.966447800,568.0
